Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Chevallier Tiphaine,2025,Contribution of inorganic carbon to CO2 emissions under a Mediterranean agroforestry system,True,A référencer
HAL,Cardinael Rémi,2025,Organic carbon decomposition rates with depth and contribution of inorganic carbon to CO2 emissions under a Mediterranean agroforestry system,True,A référencer
HAL,Sereni Laura,2025,The impact of climate change on mercury in permafrost: insights from the ORCHIDEE-MICT-PEAT-LEAK model,True,A référencer
HAL,Gaillard Rémi,2025,Arctic soil carbon insulation averts large spring cooling from surface–atmosphere feedbacks,True,A référencer
HAL,Khairallah Wissal,2024,Unstable geogenic carbon controls mediterranean cropland soils organic carbon stocks and dynamics,True,A référencer
HAL,Sereni Laura,2024,Is soil contamination a missing driver of soil heterotrophic respiration in land surface models? A study case with copper –,True,A référencer
HAL,Martin Philip A,2025,Meta‐analysis reveals that the effects of precipitation change on soil and litter fauna in forests depend on body size,True,A référencer
HAL,Alencar Mery Ingrid Guimarães De,2024,“Blooming” of litter-mixing effects: the role of flower and leaf litter interactions on decomposition in terrestrial and aquatic ecosystems,True,A référencer
HAL,Xiao Chunwang,2024,Priming of soil organic matter decomposition scales linearly with microbial biomass response to litter input in steppe vegetation,True,A référencer
HAL,Bowring Simon,2024,Pyrogenic carbon decomposition critical to resolving fire’s role in the Earth system,True,A référencer
HAL,Cardinael Rémi,2024,Organic carbon decomposition rates with depth under an agroforestry system in a calcareous soil,True,A référencer
HAL,Sereni Laura,2024,Review of the empirical equations to estimate mobile or available Cu content in soils and applicability at the European scale for risk assessment,True,A référencer
HAL,Laura Sereni,2024,Soil copper contamination effect on carbon mineralisation: evidence of a soil CO2 emission decrease from literature review,True,A référencer
HAL,Sereni Laura,2024,Using climate change scenarios to simulate mobility of metal contaminants in soils: the example of copper on a European scale,True,A référencer
HAL,Clivot Hugues,2024,Modélisation de l'évolution des stocks de carbone organique dans les sols : travaux et perspectives de recherche autour du modèle AMG,True,A référencer
HAL,Sereni Laura,2024,Impact d'un double stress sur les émissions azotées d'un sol : calibration et utilisation du modèle DNDC,True,A référencer
HAL,Martin Manuel P,2024,Les données du GIS Sol pour appuyer les politiques d’atténuation et d’adaptation au changement climatique,True,A référencer
ORCID,Rémi Gaillard,2025.0,IPSL-Perm-LandN: improving the IPSL Earth System Model to represent permafrost carbon-nitrogen interactions,A déposer sur HAL,False
ORCID,Elodie Salmon,2025.0,Accounting for empirical global soil organic characteristics and moisture heterogeneities in soil organic decomposition scheme of land surface models,A déposer sur HAL,False
ORCID,Belen Benitez,2025.0,Attributing gridded land use change carbon emissions to crop and grass production from 2000 to 2020.,A déposer sur HAL,False
ORCID,Rémi Gaillard,2025.0,Implications of permafrost carbon cycle feedbacks for TCRE: evidence from Earth system modeling,A déposer sur HAL,False
ORCID,Elisa Bruni,2025.0,Me4soc: a multi-model ensemble interface for soil organic carbon predictions,A déposer sur HAL,False
ORCID,Laura Sereni,2025.0,Modeling the stability and remobilization of mercury in temperate and permafrost soils under climate change with ORCHIDEE-MICT-PEAT-LEAK,A déposer sur HAL,False
ORCID,Filip Kiałka,2025.0,Effect of soil structure on vadose zone hydrology in the ORCHIDEE land surface model,A déposer sur HAL,False
ORCID,Annemiek I. Stegehuis,2025.0,The effect of a strong hurricane on carbon export from the largest contiguous mangrove forest in North America,A déposer sur HAL,False
ORCID,Laura Sereni,2025.0,The impact of climate change on mercury in permafrost: insights from the ORCHIDEE-MICT-PEAT-LEAK model&#160;,A déposer sur HAL,False
ORCID,Boris Ťupek,2024.0,Reduced microbial respiration sensitivity to soil moisture following long-term N fertilization enhances soil C retention in a boreal Scots pine forest,A déposer sur HAL,False
ORCID,Boris Ťupek,2024.0,"Supplementary material to ""Reduced microbial respiration sensitivity to soil moisture following long-term N fertilization enhances soil C retention in a boreal Scots pine forest""",A déposer sur HAL,False
ORCID,Nina Raoult,2024.0,Using Free Air CO2 Enrichment data to constrain land surface model projections of the terrestrial carbon cycle,A déposer sur HAL,False
ORCID,Mery Ingrid Guimarães de Alencar,2024.0,"Supplementary material to ""“Blooming” of litter-mixing effects: The role of flower and leaf litter interactions on decomposition in terrestrial and aquatic ecosystems""",A déposer sur HAL,False
ORCID,Mery Ingrid Guimarães de Alencar,2024.0,“Blooming” of litter-mixing effects: The role of flower and leaf litter interactions on decomposition in terrestrial and aquatic ecosystems,A déposer sur HAL,False
ORCID,Manuel P Martin,2024.0,GIS Sol data as a support for climate change adaptation and mitigation policies,A déposer sur HAL,False
